Mail ID	From Address ID	To Address ID	Date Sent	Type
0	21	82	12/2/2019	priority
1	39	55	11/6/2019	priority
2	51	27	11/1/2019	priority
3	95	17	11/2/2019	economy
4	87	5	10/4/2019	economy
5	89	20	12/2/2019	economy
6	82	42	10/3/2019	economy
7	2	95	12/4/2019	economy
8	85	62	10/4/2019	priority
9	94	67	10/7/2019	normal
10	14	33	10/2/2019	normal
11	34	73	11/1/2019	economy
12	22	13	10/5/2019	normal
13	82	51	12/2/2019	normal
14	25	63	10/7/2019	normal
15	42	53	11/4/2019	priority
16	20	1	10/2/2019	economy
17	1	35	10/7/2019	economy
18	88	52	10/2/2019	economy
19	8	16	10/2/2019	priority
20	46	22	11/4/2019	priority
21	36	35	11/7/2019	priority
22	17	24	11/6/2019	priority
23	51	32	10/5/2019	priority
24	69	74	11/4/2019	economy
25	38	6	10/7/2019	normal
26	5	48	10/2/2019	normal
27	50	69	11/4/2019	priority
28	57	15	10/2/2019	priority
29	41	27	10/5/2019	normal
30	80	74	10/4/2019	economy
31	36	63	10/3/2019	priority
32	99	65	11/4/2019	priority
33	62	84	10/3/2019	economy
34	36	8	10/5/2019	normal
35	94	52	11/3/2019	priority
36	22	1	10/3/2019	economy
37	59	3	11/3/2019	priority
38	42	7	11/5/2019	normal
39	21	61	11/3/2019	priority
40	25	80	12/3/2019	priority
41	58	79	10/4/2019	economy
42	61	62	10/4/2019	normal
43	78	74	10/4/2019	normal
44	38	92	10/5/2019	priority
45	76	51	11/2/2019	normal
46	78	21	10/3/2019	normal
47	30	54	10/3/2019	normal
48	43	88	10/5/2019	normal
49	53	14	11/3/2019	priority
50	60	41	10/4/2019	normal
51	10	36	10/1/2019	economy
52	28	66	11/4/2019	normal
53	15	77	12/3/2019	economy
54	25	61	11/5/2019	economy
55	96	93	11/7/2019	normal
56	36	32	11/3/2019	priority
57	95	98	10/5/2019	economy
58	69	70	12/2/2019	priority
59	88	95	11/6/2019	economy
60	60	57	10/5/2019	priority
61	98	23	11/4/2019	economy
62	15	51	11/4/2019	normal
63	68	98	10/7/2019	economy
64	29	18	11/7/2019	normal
65	78	19	10/3/2019	economy
66	1	67	11/1/2019	normal
67	85	2	10/7/2019	priority
68	27	66	11/7/2019	economy
69	70	42	11/6/2019	economy
70	48	70	10/6/2019	normal
71	21	56	11/5/2019	economy
72	58	90	10/3/2019	priority
73	70	46	10/7/2019	normal
74	65	46	10/4/2019	priority
75	86	23	12/1/2019	priority
76	64	94	11/4/2019	priority
77	40	49	10/3/2019	normal
78	31	98	10/4/2019	economy
79	71	45	11/2/2019	normal
80	14	34	11/5/2019	priority
81	61	52	11/1/2019	priority
82	65	3	10/5/2019	normal
83	11	13	11/5/2019	normal
84	18	29	10/1/2019	normal
85	39	76	11/7/2019	normal
86	6	69	12/2/2019	priority
87	91	3	11/1/2019	priority
88	68	93	11/5/2019	priority
89	20	35	10/1/2019	economy
90	64	96	10/5/2019	priority
91	62	47	11/2/2019	priority
92	80	86	10/2/2019	economy
93	46	8	11/1/2019	normal
94	47	89	11/1/2019	economy
95	71	58	11/6/2019	priority
96	49	70	11/1/2019	priority
97	75	32	11/7/2019	normal
98	49	89	11/4/2019	normal
99	78	15	12/4/2019	normal
100	24	63	11/6/2019	economy
101	71	70	11/4/2019	normal
102	2	23	11/3/2019	normal
103	10	52	10/3/2019	priority
104	54	74	10/1/2019	priority
105	40	9	11/2/2019	economy
106	66	60	10/5/2019	economy
107	65	63	10/5/2019	normal
108	24	13	10/2/2019	economy
109	62	18	11/7/2019	priority
110	86	31	10/6/2019	priority
111	55	94	10/6/2019	normal
112	59	32	11/6/2019	priority
113	88	18	10/4/2019	priority
114	87	61	10/1/2019	priority
115	1	11	11/5/2019	priority
116	76	88	10/6/2019	economy
117	82	63	11/6/2019	economy
118	55	48	10/4/2019	priority
119	89	0	10/4/2019	normal
120	2	93	11/1/2019	economy
121	96	69	10/7/2019	priority
122	4	76	11/1/2019	economy
123	15	53	10/6/2019	economy
124	16	63	11/1/2019	priority
125	57	60	11/2/2019	economy
126	32	38	11/4/2019	economy
127	37	84	11/1/2019	economy
128	78	16	11/7/2019	normal
129	97	26	11/5/2019	economy
130	19	30	11/1/2019	normal
131	49	98	10/2/2019	normal
132	69	91	10/5/2019	economy
133	8	38	11/7/2019	economy
134	12	63	10/1/2019	normal
135	96	6	10/7/2019	priority
136	90	33	11/5/2019	economy
137	56	51	12/1/2019	economy
138	82	46	11/6/2019	economy
139	18	16	11/6/2019	priority
140	48	23	10/4/2019	priority
141	63	26	10/6/2019	economy
142	31	17	11/7/2019	normal
143	58	49	11/5/2019	economy
144	90	77	11/4/2019	economy
145	24	95	11/1/2019	economy
146	51	43	10/4/2019	economy
147	46	47	11/7/2019	normal
148	98	17	10/2/2019	priority
149	80	84	11/7/2019	normal
150	30	84	10/2/2019	economy
151	11	83	11/7/2019	economy
152	68	51	10/7/2019	economy
153	58	21	11/4/2019	economy
154	83	72	11/2/2019	priority
155	37	10	10/6/2019	normal
156	64	74	10/4/2019	economy
157	86	57	10/1/2019	priority
158	56	39	10/6/2019	normal
159	63	5	11/7/2019	economy
160	62	32	11/7/2019	priority
161	46	24	12/4/2019	economy
162	6	64	10/1/2019	economy
163	14	28	11/7/2019	priority
164	13	12	11/3/2019	priority
165	57	81	11/7/2019	economy
166	45	26	11/6/2019	economy
167	6	39	10/1/2019	priority
168	12	30	10/7/2019	priority
169	23	12	12/5/2019	priority
170	97	1	11/1/2019	priority
171	29	79	11/4/2019	priority
172	4	51	12/4/2019	normal
173	33	70	11/5/2019	normal
174	98	15	11/2/2019	economy
175	91	58	12/4/2019	economy
176	93	1	11/3/2019	priority
177	76	92	11/3/2019	priority
178	68	7	10/6/2019	normal
179	50	64	11/1/2019	priority
180	45	39	10/1/2019	priority
181	99	49	10/4/2019	normal
182	74	15	10/2/2019	economy
183	45	60	10/3/2019	economy
184	52	46	11/7/2019	normal
185	98	18	11/5/2019	normal
186	37	80	10/5/2019	normal
187	73	58	11/4/2019	normal
188	4	47	10/2/2019	priority
189	40	95	10/6/2019	economy
190	37	71	11/5/2019	priority
191	15	39	12/2/2019	economy
192	98	5	11/6/2019	priority
193	54	25	11/4/2019	economy
194	74	16	10/7/2019	normal
195	51	94	10/3/2019	economy
196	50	77	11/6/2019	normal
