Mail ID	From Address ID	To Address ID	Date Sent	Type
0	45	30	10/3/2019	normal
1	29	55	10/3/2019	normal
2	19	88	11/6/2019	normal
3	74	24	11/3/2019	normal
4	75	62	11/3/2019	priority
5	82	80	10/7/2019	priority
6	11	87	10/5/2019	economy
7	35	88	10/7/2019	normal
8	42	90	11/3/2019	normal
9	1	50	10/2/2019	economy
10	97	73	10/1/2019	economy
11	56	39	10/3/2019	priority
12	6	82	10/1/2019	priority
13	95	81	10/2/2019	normal
14	4	93	11/6/2019	priority
15	18	27	11/6/2019	economy
16	79	53	10/2/2019	economy
17	53	26	10/5/2019	economy
18	66	26	11/5/2019	normal
19	6	7	11/4/2019	priority
20	95	60	10/2/2019	normal
21	43	66	11/4/2019	economy
22	30	39	10/1/2019	priority
23	21	68	10/6/2019	economy
24	45	17	11/6/2019	economy
25	93	8	11/1/2019	priority
26	85	56	11/3/2019	economy
27	23	66	11/5/2019	economy
28	24	31	10/3/2019	priority
29	63	22	11/2/2019	economy
30	37	88	10/3/2019	priority
31	61	69	10/6/2019	economy
32	64	77	10/3/2019	economy
33	10	65	10/2/2019	priority
34	99	79	10/7/2019	economy
35	11	78	10/6/2019	normal
36	61	34	11/3/2019	economy
37	94	85	10/5/2019	normal
38	64	45	10/5/2019	economy
39	1	12	11/5/2019	normal
40	18	69	10/4/2019	normal
41	0	80	10/5/2019	priority
42	91	42	11/7/2019	priority
43	52	61	11/7/2019	priority
44	80	42	11/3/2019	priority
45	16	68	10/2/2019	economy
46	98	42	10/5/2019	priority
47	37	39	10/3/2019	normal
48	41	30	11/7/2019	normal
49	86	28	11/2/2019	priority
50	23	12	12/1/2019	economy
51	48	29	10/6/2019	normal
52	11	61	10/2/2019	economy
53	89	24	11/2/2019	normal
54	66	15	12/2/2019	economy
55	18	28	10/3/2019	priority
56	2	72	11/7/2019	priority
57	4	13	10/3/2019	priority
58	87	64	11/3/2019	priority
59	56	32	10/3/2019	normal
60	75	62	10/3/2019	priority
61	92	35	11/4/2019	priority
62	85	62	11/4/2019	economy
63	49	55	10/3/2019	priority
64	36	39	11/5/2019	normal
65	76	97	11/6/2019	economy
66	27	82	11/2/2019	economy
67	96	54	11/6/2019	priority
68	86	54	11/1/2019	economy
69	21	54	11/6/2019	priority
70	26	79	11/6/2019	normal
71	40	24	10/5/2019	economy
72	40	23	11/4/2019	normal
73	58	62	10/3/2019	normal
74	0	50	10/4/2019	priority
75	39	36	11/4/2019	economy
76	19	99	10/5/2019	economy
77	40	23	10/7/2019	priority
78	6	91	11/2/2019	priority
79	90	4	11/3/2019	economy
80	53	38	11/7/2019	economy
81	43	74	11/6/2019	economy
82	17	71	11/5/2019	normal
83	25	89	10/6/2019	economy
84	27	32	11/6/2019	economy
85	74	37	11/5/2019	economy
86	14	75	11/4/2019	economy
87	69	99	10/2/2019	priority
88	32	81	10/5/2019	priority
89	1	37	11/4/2019	economy
90	86	87	11/1/2019	priority
91	67	89	10/4/2019	normal
92	50	60	10/3/2019	priority
93	20	63	11/5/2019	economy
94	34	31	11/1/2019	economy
95	21	84	10/7/2019	priority
96	84	58	11/2/2019	economy
97	21	63	11/4/2019	normal
98	11	32	10/4/2019	economy
99	52	56	11/7/2019	priority
